,Unnamed: 0,x,y
0,0,127.0137248,37.55578326
141,141,127.0142162,37.5659268
112,112,127.0186792,37.57029124
98,98,127.0192288,37.57086193
79,79,127.0196146,37.5702691
103,103,127.0211364,37.56998619
86,86,127.0224077,37.56976531
87,87,127.0226929,37.56941251
94,94,127.0210721,37.56988466
93,93,127.0208144,37.56915968
88,88,127.0212516,37.56881137
80,80,127.021461,37.56894233
97,97,127.0215781,37.56892276
90,90,127.0210913,37.56771119
77,77,127.0222565,37.56633083
92,92,127.0221921,37.56637652
139,139,127.0210756,37.56579243
0,0,127.0137248,37.55578326
136,136,127.0167419,37.56519649
128,128,127.0187426,37.56515969
3,3,127.0181571,37.56110674
123,123,127.0178572,37.56172812
115,115,127.0181214,37.56327734
35,35,127.0168666,37.56203748
47,47,127.0162804,37.56253068
21,21,127.0165708,37.56554483
73,73,127.0159046,37.56593605
36,36,127.0159127,37.5657554
0,0,127.0137248,37.55578326
