,GREEDY_DESCENT,GUIDED_LOCAL_SEARCH,SIMULATED_ANNEALING,TABU_SEARCH,GENERIC_TABU_SEARCH
GLOBAL_CHEAPEST_ARC,0.0,0.0,0.0,0.0,0.0
LOCAL_CHEAPEST_ARC,0.0,0.0,0.0,0.0,0.0
PATH_CHEAPEST_ARC,133749.0,133267.0,133670.0,133388.0,133749.0
PATH_MOST_CONSTRAINED_ARC,133749.0,133267.0,133670.0,133388.0,133749.0
EVALUATOR_STRATEGY,0.0,0.0,0.0,0.0,0.0
ALL_UNPERFORMED,0.0,0.0,0.0,0.0,0.0
BEST_INSERTION,0.0,0.0,0.0,0.0,0.0
PARALLEL_CHEAPEST_INSERTION,136576.0,135935.0,135030.0,136576.0,136576.0
LOCAL_CHEAPEST_INSERTION,137383.0,136817.0,137590.0,136190.0,136190.0
SAVINGS,137976.0,137383.0,137976.0,137890.0,137976.0
SWEEP,0.0,0.0,0.0,0.0,0.0
FIRST_UNBOUND_MIN_VALUE,0.0,0.0,0.0,0.0,0.0
CHRISTOFIDES,136062.0,135336.0,136062.0,136062.0,136062.0
